    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1062,Rashmita,Permanent,Active,Level7,140223.0,Bangalore,Transportation,Brismit,Kofax;Embedded C++,14-09-2023,01-07-2023,0.5,Split Allocation,2.0,4.0,5.0,
Emp1378,Shasankar,Permanent,Active,Level7,234022.0,Bangalore,Banking,Rohan Bopanna,Embedded C,20-08-2023,12-03-2023,1.0,Full Allocation,5.0,4.0,4.0,
Emp1486,Bahl,Permanent,Active,Level7,268136.0,Bangalore,Embedded,Pradeep Sindhu,Azure Programming,23-10-2023,01-04-2023,0.25,Partial Allocation,3.0,2.0,1.0,
Emp1684,Arora,Permanent,Active,Level7,165424.0,Bangalore,Education,Rajiv Gupta,Embedded C,22-04-2023,05-05-2023,0.5,Split Allocation,3.0,4.0,5.0,
Emp1874,Mallick,Contract,InActive,Level7,202383.0,Bangalore,Embedded,Naina Lal,Systems Testing,06-08-2023,05-02-2023,0.25,Partial Allocation,1.0,2.0,1.0,
Emp2053,Yadavilli,Permanent,InActive,Level7,143397.0,Bangalore,Education,Rajiv Gupta,Embedded C++,13-12-2023,04-10-2023,0.25,Partial Allocation,4.0,2.0,5.0,
Emp2121,Gupta,Contract,InActive,Level7,299446.0,Bangalore,Life Sciences,Bhagyashree Rai,Embedded C++,22-07-2023,04-05-2023,1.0,Full Allocation,2.0,4.0,2.0,
Emp2147,SWAMYowin,Permanent,Active,Level7,258134.0,Bangalore,Embedded,Jagtiani,C#,25-12-2023,09-07-2023,0.75,Partial Allocation,3.0,5.0,4.0,
Emp493,Preeti,Contract,Active,Level7,294576.0,Bangalore,Embedded,Jagtiani,AWS Programming,21-07-2023,31-12-2023,0.5,Split Allocation,3.0,2.0,2.0,
Emp520,Harsha,Permanent,InActive,Level7,299330.0,Bangalore,Embedded,Jagtiani,Uipath,04-01-2023,13-06-2023,0.5,Split Allocation,5.0,2.0,1.0,
Emp664,NarayanaSwamyGowda,Permanent,InActive,Level7,147961.0,Bangalore,Embedded,Naina Lal,Azure Programming,24-03-2023,08-07-2023,0.75,Partial Allocation,3.0,5.0,5.0,
Emp698,Nainta,Permanent,Active,Level7,289884.0,Bangalore,Embedded,Pradeep Sindhu,C#,18-11-2023,17-12-2023,0.75,Partial Allocation,5.0,5.0,5.0,
Emp819,Pathak,Permanent,Active,Level7,283704.0,Bangalore,Public Sector,Jagdeesh Jindal,Embedded C,10-01-2023,10-08-2023,1.0,Full Allocation,2.0,2.0,4.0,
Emp854,Ramayanapu,Permanent,Active,Level7,265392.0,Bangalore,Embedded,Jagtiani,Python,13-08-2023,30-03-2023,1.0,Full Allocation,1.0,5.0,2.0,
