    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1094,Sagunaben,Contract,InActive,Level10,64358.0,Bangalore,Infotainment,Arjun Malhotra,BUHead,04-02-2023,30-12-2023,0.5,Split Allocation,2.0,4.0,4.0,
Emp1254,Suvarna,Contract,Active,Level10,69661.0,Bangalore,Infotainment,Manibhai Naik,Quality Control,28-01-2023,13-10-2023,0.25,Partial Allocation,1.0,1.0,3.0,
Emp1274,Jaffarali,Permanent,InActive,Level10,67140.0,Bangalore,Infotainment,Palki Oberoi,AzureDevOps,09-05-2023,23-01-2023,0.25,Partial Allocation,3.0,2.0,4.0,
Emp1439,Santosh,Permanent,Active,Level10,93458.0,Bangalore,Infotainment,Palki Oberoi,BUHead,15-01-2023,09-08-2023,0.25,Partial Allocation,3.0,4.0,4.0,
Emp1543,KALISAMY,Permanent,InActive,Level10,60198.0,Bangalore,Infotainment,Arjun Malhotra,Scala,13-08-2023,01-05-2023,0.0,No Allocation,1.0,4.0,2.0,
Emp1683,Ahmed,Permanent,Active,Level10,98666.0,Bangalore,Infotainment,Arjun Malhotra,AzureDevOps,24-11-2023,27-07-2023,0.25,Partial Allocation,1.0,2.0,4.0,
Emp1760,Kamma,Permanent,InActive,Level10,95483.0,Bangalore,Infotainment,Palki Oberoi,Angular JS,29-01-2023,20-05-2023,0.5,Split Allocation,1.0,4.0,2.0,
Emp1917,Borra,Permanent,Active,Level10,68583.0,Bangalore,Infotainment,Manibhai Naik,SAP Netweaver,15-03-2023,19-12-2023,0.75,Partial Allocation,4.0,2.0,5.0,
Emp2082,Keshavamurthy,Permanent,Active,Level10,85706.0,Bangalore,Infotainment,Palki Oberoi,Matlabs,27-04-2023,14-01-2023,0.75,Partial Allocation,3.0,2.0,3.0,
Emp2190,Tiwari,Permanent,Active,Level10,98562.0,Bangalore,Infotainment,Palki Oberoi,Microsoft Administration;CSS,11-10-2023,07-06-2023,0.75,Partial Allocation,5.0,1.0,1.0,
Emp449,Preethi,Contract,Active,Level10,86883.0,Bangalore,Infotainment,Arjun Malhotra,JS;Apache Ant,29-05-2023,12-05-2023,1.0,Full Allocation,1.0,5.0,4.0,
Emp571,Narayana,Permanent,Active,Level10,58135.0,Bangalore,Infotainment,Palki Oberoi,Office Administration;Tableau,10-06-2023,08-05-2023,0.5,Split Allocation,1.0,4.0,1.0,
Emp799,Thakare,Contract,Active,Level10,61867.0,Bangalore,Infotainment,Palki Oberoi,ApplicationTester,20-02-2023,08-10-2023,0.25,Partial Allocation,3.0,3.0,3.0,
