    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1000,Sahithya,Permanent,InActive,Level6,300558.0,Bangalore,Life Sciences,Bhagyashree Rai,AWS Programming,03-01-2023,07-03-2023,0.0,No Allocation,3.0,2.0,1.0,
Emp1517,Sudin,Permanent,Active,Level6,180107.0,Bangalore,Life Sciences,Vikram Pandit,MobileApp;SAP HANA,02-09-2023,02-03-2023,0.5,Split Allocation,4.0,3.0,4.0,
Emp1667,Bisht,Permanent,InActive,Level6,186306.0,Bangalore,Life Sciences,Swaraj Mittal,Python,07-09-2023,21-03-2023,0.75,Partial Allocation,2.0,5.0,5.0,
Emp2112,Mamadapur,Permanent,InActive,Level6,343465.0,Bangalore,Life Sciences,Vikram Pandit,PLSQL,29-03-2023,09-08-2023,1.0,Full Allocation,5.0,2.0,1.0,
Emp2218,Vishesh,Permanent,Active,Level6,234814.0,Bangalore,Life Sciences,Bhagyashree Rai,React JS,24-02-2023,05-11-2023,0.5,Split Allocation,4.0,3.0,4.0,
Emp2241,Wankhedkar,Contract,Active,Level6,265730.0,Bangalore,Life Sciences,Swaraj Mittal,Uipath;AndroidAppTester,25-04-2023,17-12-2023,0.75,Partial Allocation,2.0,1.0,4.0,
Emp2465,Jhilam,Permanent,Active,Level6,325448.0,Bangalore,Life Sciences,Vikram Pandit,Finance Auditing,10-04-2023,21-03-2023,0.5,Split Allocation,1.0,4.0,2.0,
Emp297,Thilakaraja,Contract,InActive,Level6,234244.0,Bangalore,Life Sciences,Vikram Pandit,Business Integration Platform,21-04-2023,14-03-2023,0.25,Partial Allocation,2.0,1.0,5.0,
Emp323,Swathi,Permanent,Active,Level6,359124.0,Bangalore,Life Sciences,Bhagyashree Rai,MobileApp,05-04-2023,21-03-2023,0.75,Partial Allocation,2.0,1.0,1.0,
Emp436,Rajesh,Permanent,InActive,Level6,367634.0,Bangalore,Life Sciences,Bhagyashree Rai,PLSQL,27-08-2023,16-07-2023,0.0,No Allocation,2.0,2.0,5.0,
Emp519,Sunil,Permanent,Active,Level6,350033.0,Bangalore,Life Sciences,Swaraj Mittal,AWSDevelopment;NLP,06-11-2023,15-08-2023,0.0,No Allocation,5.0,3.0,5.0,
